player,MP,3PAr,FTr,TS%,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,paint_rebounding_norm,3catch_and_shoot_norm,pullupshoot_norm,tm,labels
Jason Terry,18.4,0.704,0.119,0.6,1.3,7.7,9.9,1.7,1.3,12.3,9.8,-0.5,-0.6,0.52256,9.636816,5.207936,MIL,9
Jaylen Brown,17.2,0.319,0.293,0.539,3.8,14.4,7.2,1.3,1.1,12.5,18.1,-3.1,-0.9,1.849,2.572776,4.9536,BOS,2
Jeff Green,22.2,0.346,0.301,0.505,2.7,12.8,8.1,1.2,0.7,10.6,20.3,-2.8,-1.8,2.8752108,3.683424,16.70328,ORL,7
Jeff Teague,32.4,0.277,0.457,0.574,1.4,12.4,36.4,1.9,1.1,16.5,22.1,2.4,-0.6,1.6615368,2.291976,55.560168,IND,8
Jerami Grant,19.1,0.354,0.448,0.556,2.7,12.2,4.2,1.1,4.1,10.1,12.1,-3.0,0.9,2.7754974,3.465504,0.961112,TOT,0
Jeremy Lamb,18.4,0.297,0.263,0.55,2.9,22.7,11.3,1.2,1.8,6.8,23.2,-0.8,-0.8,1.1360896,1.59988,19.433344,CHO,7
Jerian Grant,16.3,0.445,0.243,0.555,1.8,9.9,17.3,2.3,0.6,11.7,16.0,0.0,-0.3,0.4242238,2.746224,13.707648,CHI,2
Jimmy Butler,37.0,0.198,0.54,0.586,4.9,13.2,24.8,2.6,0.9,9.3,26.5,5.8,1.1,4.873122,2.0313,111.06364,CHI,11
Joe Harris,21.9,0.61,0.135,0.558,1.5,12.0,7.3,1.2,0.5,12.5,16.5,-1.4,-1.5,1.5778512,14.184849,12.06252,BRK,9
Joe Ingles,24.0,0.619,0.151,0.604,1.4,13.5,17.1,2.6,0.3,18.2,13.9,0.9,1.8,0.46968,11.98848,15.948,UTA,6
Joe Johnson,23.6,0.412,0.123,0.542,2.1,12.7,12.6,1.0,0.8,9.5,18.5,-0.1,-0.1,2.3890752,8.15616,31.89186,UTA,7
Joffrey Lauvergne,14.0,0.292,0.217,0.509,8.0,20.1,10.8,1.3,0.5,13.2,18.5,-2.3,-0.9,2.14564,1.89504,0.40768,TOT,0
John Henson,19.4,0.003,0.346,0.55,9.6,20.8,7.7,1.3,6.1,13.0,16.6,-2.6,2.5,4.98192,0.0,0.3395,MIL,4
John Wall,36.4,0.19,0.367,0.541,2.3,10.6,46.9,2.7,1.4,16.2,30.6,3.8,0.2,4.7161296,1.90008,121.174144,WAS,11
Jon Leuer,25.9,0.259,0.175,0.551,5.5,17.5,8.6,0.8,1.1,8.7,17.3,-0.4,0.5,2.8248612,4.30976,12.786312,DET,7
Jonas Jerebko,15.8,0.496,0.141,0.537,5.5,19.1,8.1,1.0,1.1,12.3,11.4,-2.4,0.3,1.6160872,4.297916,1.830114,BOS,9
Jonas Valanciunas,25.8,0.003,0.309,0.601,12.4,29.1,4.4,0.9,2.6,11.7,19.5,-0.5,-0.1,5.18322,0.000258,2.338512,TOR,0
Jonathon Simmons,17.8,0.242,0.314,0.504,1.7,11.1,13.2,1.7,1.5,13.7,18.0,-2.8,0.9,2.89784,1.099328,9.919584,SAS,2
Jordan Clarkson,29.2,0.332,0.157,0.526,2.2,9.3,14.4,1.8,0.3,12.5,23.3,-0.5,-2.3,3.89893,4.488624,58.971736,LAL,7
Josh Richardson,30.5,0.442,0.15,0.493,2.4,9.2,12.7,1.9,1.9,10.6,16.8,-1.0,1.1,5.0771215,14.678125,37.10996,MIA,6
Jrue Holiday,32.7,0.314,0.188,0.532,2.2,10.6,35.9,2.2,1.6,16.7,23.5,1.2,0.5,4.3011945,1.047708,92.892852,NOP,8
Juan Hernangomez,13.6,0.504,0.339,0.592,5.7,18.7,4.7,1.7,1.1,10.7,14.6,-0.1,-1.2,1.7408,4.692,0.219912,DEN,9
Julius Randle,28.8,0.082,0.365,0.543,7.5,25.8,19.3,1.1,1.4,16.2,21.4,-0.7,0.7,4.0699296,0.44352,13.06656,LAL,0
Justin Anderson,16.4,0.442,0.294,0.537,6.2,16.9,8.8,1.7,1.6,11.7,20.9,-1.2,-0.3,1.5725468,3.82694,4.414552,TOT,9
Justin Hamilton,18.4,0.478,0.137,0.55,6.5,17.0,7.3,1.2,2.8,9.7,16.2,-0.9,0.2,3.5669504,7.565712,1.445136,BRK,9
Justin Holiday,20.0,0.507,0.149,0.549,1.8,13.1,9.2,2.0,1.5,10.3,16.9,-0.3,-0.8,2.1645,9.6036,12.905,NYK,9
Jusuf Nurkic,21.4,0.002,0.393,0.528,12.3,24.8,13.9,1.8,4.2,18.6,23.9,-2.3,2.2,4.7291432,0.0,0.993174,TOT,4
Karl-Anthony Towns,37.0,0.186,0.289,0.618,11.2,27.8,13.2,1.0,2.9,11.3,27.5,4.8,0.3,6.753092,7.0818,16.63446,MIN,12
Kawhi Leonard,33.4,0.294,0.407,0.611,3.7,15.7,18.9,2.7,1.8,9.1,31.1,6.4,1.5,5.2738266,8.23644,122.16718,SAS,11
Kelly Olynyk,20.5,0.378,0.242,0.603,5.3,20.7,15.2,1.4,1.5,14.6,19.0,0.1,0.5,1.650168,6.010395,6.119865,BOS,0
Kelly Oubre,20.3,0.425,0.224,0.516,4.3,13.9,4.0,1.8,0.9,9.2,14.5,-1.8,-0.5,2.1484505,4.643625,6.294624,WAS,9
Kemba Walker,34.7,0.415,0.248,0.569,1.8,10.6,29.1,1.6,0.7,9.5,29.2,5.3,-1.7,2.6914014,7.014952,144.00153,CHO,5
Kenneth Faried,21.2,0.014,0.454,0.588,15.7,23.6,6.3,1.6,2.4,10.4,18.3,0.9,-0.1,4.76364,0.0,1.431,DEN,4
Kent Bazemore,26.9,0.369,0.233,0.504,2.6,10.3,14.2,2.3,2.3,13.6,20.5,-2.0,1.2,2.027184,6.976515,36.308544,ATL,6
Kentavious Caldwell-Pope,33.3,0.471,0.199,0.519,2.3,8.7,11.2,1.8,0.4,7.9,19.2,0.9,0.0,3.8191104,13.722264,72.08784,DET,7
Kevin Durant,33.4,0.304,0.374,0.651,2.2,23.6,23.1,1.5,3.8,10.4,27.8,5.4,2.6,2.7978178,10.212384,72.144,GSW,12
Kevin Love,31.4,0.449,0.34,0.573,8.9,29.3,9.8,1.4,0.9,10.9,26.4,1.7,-0.9,3.4510484,29.2491,15.43938,CLE,3
Klay Thompson,34.0,0.47,0.158,0.592,2.2,9.2,9.3,1.2,1.2,8.0,26.1,2.4,-2.1,3.492072,43.20652,58.8387,GSW,3
Kosta Koufos,20.0,0.003,0.158,0.56,9.7,22.9,5.3,1.3,3.1,12.7,15.3,-2.6,0.7,2.75808,0.0,1.386,SAC,0
Kris Dunn,17.1,0.233,0.188,0.432,2.1,12.6,19.4,3.0,2.3,20.8,14.2,-3.7,1.5,2.0986488,0.491283,10.222038,MIN,10
Kris Humphries,12.3,0.252,0.383,0.514,9.7,23.0,6.4,1.1,2.6,10.1,17.6,-3.0,0.3,1.7056656,0.936768,1.077111,ATL,0
Kristaps Porzingis,32.8,0.319,0.256,0.546,5.5,18.2,7.3,1.1,4.9,9.7,24.3,0.2,0.0,6.7568,15.472744,45.538864,NYK,1
Kyle Anderson,14.2,0.191,0.273,0.525,3.7,19.0,12.4,2.5,2.1,14.3,12.1,-2.1,3.7,1.4676552,0.52256,1.5975,SAS,6
Kyle Korver,26.2,0.697,0.082,0.635,0.5,11.0,9.4,1.0,1.0,11.5,15.2,0.8,-1.0,3.1574144,28.06413,28.6235,TOT,3
Kyle Lowry,37.4,0.51,0.398,0.623,2.4,12.1,29.9,2.0,0.7,13.8,24.9,7.1,-0.4,3.825646,10.36728,137.769632,TOR,11
Kyle O'Quinn,15.6,0.041,0.201,0.552,13.7,24.8,14.8,1.5,6.9,14.5,18.5,-0.1,3.7,3.231228,0.012636,1.365,NYK,4
Kyrie Irving,35.1,0.311,0.231,0.58,2.3,7.5,29.7,1.6,0.8,10.3,30.8,4.8,-2.3,7.0902,4.558437,155.745018,CLE,5
LaMarcus Aldridge,32.4,0.053,0.258,0.532,8.6,16.6,9.9,1.0,3.1,7.7,24.5,-0.3,1.4,6.9698232,0.46656,34.949232,SAS,1
Langston Galloway,20.2,0.565,0.117,0.51,1.9,9.3,9.4,1.5,0.3,7.4,18.4,-0.9,-1.7,1.0628028,14.10465,15.655808,TOT,9
Larry Nance,22.9,0.1,0.222,0.567,8.8,19.6,9.7,2.8,2.3,12.4,13.4,-0.3,2.3,3.5317296,0.344416,1.43125,LAL,6
Lavoy Allen,14.3,0.006,0.196,0.485,13.7,14.6,9.1,1.0,2.4,13.7,10.9,-1.5,1.3,4.04976,0.0,0.47619,IND,0
LeBron James,37.8,0.254,0.395,0.619,4.0,20.7,41.3,1.6,1.3,16.1,30.0,6.8,1.6,3.5385336,2.16216,95.390946,CLE,11
Leandro Barbosa,14.4,0.25,0.115,0.509,1.6,10.3,13.0,1.5,0.7,10.4,20.0,-2.0,-2.1,0.4406688,1.03968,11.7504,PHO,2
Lou Williams,24.6,0.447,0.458,0.593,1.4,9.9,19.9,1.9,0.8,11.8,29.1,3.7,-3.0,2.0677776,4.454814,57.83706,TOT,8
Luc Mbah a Moute,22.3,0.291,0.23,0.581,3.0,7.7,3.1,2.3,1.6,10.1,11.6,-0.8,1.5,4.1956335,2.917509,4.84579,LAC,6
Lucas Nogueira,19.1,0.077,0.429,0.682,8.5,16.7,5.4,2.4,7.2,19.9,9.5,-0.1,5.6,3.9785682,0.06303,0.0,TOR,4
Luke Babbitt,15.7,0.747,0.053,0.563,1.3,13.5,4.8,1.0,0.8,8.0,13.0,-1.0,-0.8,1.1071012,13.040734,5.338,MIA,9
Luol Deng,26.5,0.389,0.149,0.47,4.5,17.7,7.0,1.6,1.1,8.7,14.2,-2.3,-0.2,4.053016,5.822845,16.11253,LAL,9
Malcolm Brogdon,26.4,0.304,0.198,0.555,2.8,9.6,24.3,2.2,0.5,14.1,18.5,0.6,-1.1,4.5626328,4.832784,24.175536,MIL,8
Malcolm Delaney,17.1,0.284,0.24,0.456,1.0,9.8,23.1,1.5,0.1,18.1,18.3,-4.6,-1.2,1.593207,0.906984,21.8025,ATL,10
Manu Ginobili,18.7,0.517,0.244,0.532,2.5,11.1,20.8,3.2,1.0,16.5,20.4,0.5,1.4,1.2247378,6.486843,13.634544,SAS,6
Marc Gasol,34.2,0.231,0.286,0.554,2.6,18.7,24.8,1.4,3.7,11.3,26.4,2.1,2.2,5.6446416,9.898848,33.76737,MEM,12
Marcin Gortat,31.2,0.003,0.236,0.593,10.6,26.8,6.8,0.8,2.1,13.7,14.7,-0.9,1.2,4.964544,0.0,4.185792,WAS,0
Marco Belinelli,24.0,0.46,0.273,0.566,0.9,10.2,13.1,1.2,0.4,9.2,19.2,0.1,-2.0,0.666,6.88896,31.00032,CHO,7
Marcus Morris,32.5,0.355,0.184,0.508,3.2,12.8,9.4,1.0,0.8,7.4,20.3,-0.3,-0.2,5.2992225,11.31975,76.13775,DET,7
Marcus Smart,30.4,0.443,0.334,0.486,3.7,10.5,22.0,2.6,1.2,15.6,18.8,-1.1,0.9,6.9849472,9.790016,24.40208,BOS,6
Mario Hezonja,14.8,0.436,0.152,0.45,2.2,14.7,9.6,1.5,1.2,14.1,18.8,-4.8,-1.0,1.4518504,3.003216,6.1605,ORL,10
Markieff Morris,31.2,0.22,0.242,0.54,5.1,18.2,7.8,1.7,1.5,11.6,20.5,-1.3,0.2,4.92414,5.655936,25.4592,WAS,6
Marquese Chriss,21.3,0.354,0.286,0.529,5.8,16.1,5.2,1.8,3.2,13.2,19.7,-1.6,0.0,2.8736256,6.065388,1.216017,PHO,0
Marreese Speights,15.7,0.505,0.25,0.584,7.9,24.1,8.1,0.9,2.6,10.2,23.6,1.5,-0.8,2.9949634,9.232542,3.755754,LAC,0
Marvin Williams,30.2,0.503,0.213,0.551,4.2,19.7,7.1,1.3,2.0,7.2,16.3,-0.3,0.5,2.28312,23.189976,8.388956,CHO,3
Mason Plumlee,26.5,0.01,0.482,0.558,8.8,22.5,19.8,1.6,3.4,15.2,18.1,0.0,2.6,4.573476,0.0,6.24658,TOT,4
Matt Barnes,24.0,0.556,0.188,0.514,4.6,19.9,15.6,1.3,1.3,17.3,15.6,-1.2,0.6,2.130912,11.41704,5.8128,TOT,9
Matthew Dellavedova,26.1,0.403,0.18,0.501,1.4,7.1,25.7,1.4,0.0,18.8,16.3,-1.9,-2.8,6.0291,6.066684,24.923673,MIL,10
Maurice Harkless,28.9,0.311,0.199,0.57,6.2,10.8,6.0,1.9,2.5,11.1,15.1,0.0,0.8,9.344526,7.50244,2.975544,POR,1
Meyers Leonard,16.5,0.563,0.106,0.507,2.4,19.0,8.4,0.5,1.8,8.1,15.5,-2.1,-1.3,1.824372,7.269075,4.46886,POR,9
Michael Beasley,16.7,0.106,0.259,0.584,5.0,18.9,9.9,1.5,2.5,12.7,25.3,-1.7,-1.1,2.810109,0.47595,12.69033,MIL,0
Michael Kidd-Gilchrist,29.0,0.015,0.314,0.528,7.3,19.3,7.4,1.7,2.9,7.4,14.6,-2.0,2.2,4.067714,0.00319,25.42952,CHO,0
Mike Conley,33.2,0.415,0.365,0.604,1.5,10.8,34.5,2.1,0.8,11.8,26.3,6.5,-0.7,2.0252,5.662592,119.158784,MEM,11
Mike Dunleavy,15.9,0.609,0.205,0.573,2.4,12.4,8.6,0.9,0.7,10.5,14.0,-1.0,-1.2,1.500642,7.273614,4.803708,TOT,9
Mike Muscala,17.7,0.326,0.19,0.596,6.9,14.4,11.9,1.2,2.8,13.1,14.8,-0.4,1.5,3.7958535,3.62496,1.163598,ATL,0
Mindaugas Kuzminskas,14.9,0.455,0.184,0.533,5.0,8.4,10.3,1.4,0.9,11.3,19.2,-0.2,-2.5,5.010125,3.825426,3.095624,NYK,9
Mirza Teletovic,16.2,0.73,0.108,0.515,1.1,15.4,6.4,0.5,1.0,7.8,19.1,-1.5,-3.4,1.171665,14.519088,6.456996,MIL,9
Monta Ellis,27.0,0.242,0.23,0.514,1.1,10.3,17.2,2.0,1.2,18.0,16.8,-2.5,0.2,1.714284,2.71215,25.33545,IND,10
Montrezl Harrell,18.3,0.02,0.351,0.662,8.3,14.2,9.6,0.9,3.2,9.9,17.6,0.8,0.2,5.0977944,0.0,1.71105,HOU,0
Myles Turner,31.4,0.132,0.349,0.585,6.2,19.5,6.6,1.5,6.0,9.5,19.5,-0.3,2.7,6.7808928,1.75212,8.661376,IND,1
Nemanja Bjelica,18.3,0.497,0.171,0.526,5.5,18.6,9.6,1.7,1.4,13.4,16.4,-0.7,-0.4,3.8845593,6.42696,2.22528,MIN,9
Nene,17.9,0.023,0.496,0.63,8.6,16.9,8.6,2.2,2.7,13.1,19.7,-0.4,0.9,3.5279289,0.009666,2.55075,HOU,4
Nerlens Noel,20.5,0.003,0.359,0.622,9.8,22.3,8.1,3.1,4.1,12.5,17.6,-0.5,3.8,3.866628,0.0,1.183875,TOT,4
Nick Young,25.9,0.665,0.142,0.588,1.7,8.2,5.8,1.2,0.7,5.1,19.5,2.6,-3.4,4.428123,24.74745,52.00979,LAL,3
Nicolas Batum,34.0,0.415,0.291,0.529,1.9,18.4,27.6,1.6,1.0,15.0,22.3,0.6,0.6,1.983526,14.3344,73.22444,CHO,8
Nik Stauskas,27.4,0.566,0.237,0.54,1.1,10.3,12.9,1.0,1.2,15.5,16.4,-1.7,-0.7,1.7974674,11.09152,28.9344,PHI,7
Nikola Jokic,27.9,0.163,0.267,0.64,11.6,27.2,28.8,1.5,2.1,15.2,23.5,6.2,2.2,4.2630084,1.892736,4.994379,DEN,12
Nikola Mirotic,24.0,0.603,0.205,0.546,3.9,20.9,6.9,1.6,2.7,10.4,19.8,0.0,0.5,2.689944,20.544,14.42784,CHI,3
Nikola Vucevic,28.8,0.073,0.155,0.498,8.6,31.2,16.9,1.8,2.8,9.6,24.8,-1.3,2.4,4.1377248,0.592992,15.198624,ORL,0
Noah Vonleh,17.1,0.074,0.348,0.525,11.4,22.5,3.4,1.2,1.7,17.1,13.1,-3.5,-0.3,3.9672,0.080712,0.798912,POR,0
Norman Powell,18.0,0.342,0.314,0.552,2.2,11.7,9.3,1.9,0.9,10.8,21.1,-0.4,-1.2,1.314108,3.393,7.89192,TOR,2
Otto Porter,32.6,0.425,0.148,0.628,5.1,17.1,6.7,2.2,1.3,4.8,15.1,3.0,0.9,3.55014,23.327256,26.28864,WAS,3
PJ Tucker,27.6,0.407,0.193,0.516,5.6,17.8,6.0,2.5,0.7,11.2,11.2,-0.7,1.6,3.6432,8.441736,6.835416,TOT,6
Pascal Siakam,15.6,0.034,0.156,0.523,8.4,15.9,2.9,1.5,4.5,13.1,13.1,-3.0,1.8,2.5974,0.01092,1.142856,TOR,0
Patrick Beverley,30.7,0.53,0.175,0.546,5.0,15.9,18.8,2.3,1.0,14.6,14.1,0.8,1.5,2.9851452,14.694248,20.896876,HOU,6
Patrick McCaw,15.1,0.502,0.151,0.54,2.4,7.6,9.0,1.4,1.1,12.1,11.9,-1.6,-0.1,3.2756581,3.029664,3.114828,GSW,9
Patrick Patterson,24.6,0.659,0.156,0.542,4.4,16.2,6.6,1.3,1.2,8.5,12.5,0.5,0.4,3.9812148,21.624876,3.17832,TOR,3
Patty Mills,21.9,0.572,0.129,0.577,1.6,7.4,24.3,1.9,0.1,13.3,19.5,2.5,-1.2,1.6863,9.374076,36.609354,SAS,7
Pau Gasol,25.4,0.172,0.305,0.578,7.6,26.8,14.7,0.8,3.5,10.6,21.3,0.9,2.8,3.2624522,3.888232,6.044692,SAS,0
Paul George,35.9,0.368,0.277,0.586,2.5,17.9,16.1,2.2,0.9,12.6,28.9,3.1,-0.3,1.6895976,19.67679,121.242198,IND,11
Paul Millsap,34.0,0.248,0.417,0.542,5.3,19.5,17.9,1.9,2.3,12.1,24.4,0.5,2.1,4.631004,7.35454,42.3878,ATL,12
Rajon Rondo,26.7,0.237,0.089,0.461,4.2,16.6,37.0,2.7,0.5,22.4,17.8,-1.3,1.6,0.6459264,3.112152,16.461885,CHI,10
Ramon Sessions,16.2,0.236,0.449,0.495,1.5,8.5,24.2,1.6,0.3,12.7,20.1,-2.4,-2.3,0.81,0.8505,9.40896,CHO,2
Randy Foye,18.6,0.625,0.194,0.506,0.8,11.9,15.2,1.3,0.5,18.5,14.4,-3.0,-1.0,0.558372,5.159268,9.988944,BRK,10
Raymond Felton,21.3,0.28,0.125,0.496,2.2,11.8,16.3,2.0,1.1,13.3,16.5,-1.8,0.9,3.034185,1.327416,21.294462,LAC,2
Reggie Jackson,27.4,0.272,0.201,0.51,1.6,7.3,30.3,1.2,0.3,13.4,26.4,0.6,-2.1,1.5207,1.76456,78.762122,DET,8
Richard Jefferson,20.4,0.542,0.315,0.574,2.0,11.5,6.6,0.8,0.5,11.8,12.2,-1.3,-1.0,2.0630928,7.3134,2.329884,CLE,9
Richaun Holmes,20.9,0.187,0.25,0.611,8.7,20.1,8.3,1.7,3.7,10.7,18.6,0.2,1.5,4.5511004,1.797609,0.364287,PHI,0
Ricky Rubio,32.9,0.302,0.438,0.539,3.2,11.4,38.9,2.6,0.3,20.1,17.4,1.7,-1.0,4.3055901,6.04044,52.908464,MIN,8
Robert Covington,31.6,0.563,0.238,0.534,4.8,17.9,7.5,2.9,2.6,13.9,19.2,-0.7,2.0,4.5984636,29.93152,13.18826,PHI,6
Robin Lopez,28.0,0.003,0.134,0.511,11.4,13.2,5.6,0.4,4.1,9.9,17.5,-1.9,1.0,10.805312,0.0,5.50228,CHI,1
Rodney Hood,27.0,0.461,0.173,0.522,1.2,13.1,10.1,1.3,0.6,8.3,22.9,-0.3,-0.9,2.0574,11.03382,51.44364,UTA,7
Rodney McGruder,25.2,0.478,0.154,0.506,5.3,9.2,8.8,1.2,0.7,10.2,12.3,-0.8,0.5,4.7903184,9.8658,5.003712,MIA,9
Ron Baker,16.5,0.396,0.198,0.456,1.5,10.8,17.3,2.0,0.8,19.2,14.8,-3.5,-0.9,2.262051,1.65528,6.666,NYK,10
Rondae Hollis-Jefferson,22.6,0.124,0.467,0.517,5.8,21.1,13.4,2.2,1.9,15.1,18.7,-2.9,1.9,2.7419676,0.372448,8.518392,BRK,0
Rudy Gobert,33.9,0.002,0.763,0.682,13.6,29.5,5.7,0.9,6.4,15.1,16.7,1.4,4.5,5.2943664,0.0,0.0,UTA,4
Russell Westbrook,34.6,0.3,0.433,0.554,5.4,28.8,57.3,2.3,0.9,15.9,41.7,10.9,4.7,2.1633304,1.73173,188.10636,OKC,11
Ryan Anderson,29.4,0.655,0.194,0.583,5.8,11.2,4.7,0.7,0.5,6.2,17.9,1.8,-2.6,8.0663016,38.007144,30.841188,HOU,3
Salah Mejri,12.4,0.022,0.445,0.65,11.9,28.4,2.4,1.8,6.1,19.6,10.6,-3.6,3.8,2.5071684,0.002728,0.330832,DAL,4
Sam Dekker,18.4,0.436,0.159,0.549,7.2,14.6,7.7,1.3,1.2,8.2,14.9,-0.4,-0.6,2.890088,4.97168,3.137568,HOU,9
Sean Kilpatrick,25.1,0.419,0.329,0.546,1.3,15.4,14.6,1.2,0.3,13.9,23.9,-1.2,-1.8,0.6776749,7.445664,31.697033,BRK,7
Semaj Christon,15.2,0.283,0.139,0.387,2.2,7.9,18.1,1.4,0.5,15.4,12.2,-5.0,-1.3,2.1736,0.515584,5.928,OKC,10
Serge Ibaka,30.7,0.323,0.127,0.566,5.7,19.0,5.2,0.8,4.2,9.2,20.9,-0.5,0.1,4.5437535,14.63776,20.258009,TOT,1
Sergio Rodriguez,22.3,0.47,0.05,0.484,1.5,9.9,35.4,1.5,0.2,18.9,19.3,-1.6,-2.4,3.1889,2.210376,43.455118,PHI,10
Seth Curry,29.0,0.458,0.142,0.601,1.4,9.2,15.9,2.0,0.3,11.0,19.5,1.8,-0.4,0.725,11.0925,63.75186,DAL,7
Shabazz Muhammad,19.4,0.244,0.318,0.566,6.4,10.6,3.7,0.7,0.3,7.6,21.5,-0.2,-4.3,5.487387,2.610464,7.07906,MIN,7
Shaun Livingston,17.7,0.009,0.19,0.568,2.4,9.4,13.5,1.4,1.2,15.1,12.9,-2.5,0.5,2.78952,0.001062,18.60093,GSW,2
Shelvin Mack,21.9,0.315,0.202,0.518,2.0,10.1,20.4,1.8,0.2,17.8,19.6,-1.7,-0.1,0.8605386,1.423062,24.340536,UTA,2
Solomon Hill,29.7,0.566,0.268,0.528,2.3,11.4,8.1,1.5,1.1,13.3,11.5,-1.8,1.5,3.7854135,16.4835,5.595777,NOP,6
Spencer Dinwiddie,22.6,0.334,0.526,0.581,2.2,10.7,20.3,1.6,1.3,15.1,14.1,-0.7,-0.2,0.7597216,0.931798,21.45192,BRK,2
Spencer Hawes,14.8,0.292,0.188,0.562,5.3,21.5,16.5,0.9,3.3,14.0,19.8,-1.2,0.8,2.0742792,1.764752,3.27376,TOT,0
Stanley Johnson,17.8,0.422,0.145,0.436,2.8,12.7,10.5,2.1,1.5,15.5,14.8,-3.8,1.8,1.8247136,3.140988,10.740876,DET,10
Stephen Curry,33.4,0.547,0.251,0.624,2.7,11.4,31.1,2.6,0.5,13.0,30.1,7.7,-0.4,4.2581994,17.688974,133.344156,GSW,11
